=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.10.29 13:47:14 =~=~=~=~=~=~=~=~=~=~=~=
Sensor 1: 18.94 °C	Sensor 2: 23.87 °C	Sensor 3: 27.37 °C
Sensor 1: 18.87 °C	Sensor 2: 23.94 °C	Sensor 3: 27.44 °C
Sensor 1: 18.81 °C	Sensor 2: 23.94 °C	Sensor 3: 27.56 °C
Sensor 1: 18.75 °C	Sensor 2: 23.87 °C	Sensor 3: 27.56 °C
Sensor 1: 18.69 °C	Sensor 2: 23.94 °C	Sensor 3: 27.62 °C
Sensor 1: 18.56 °C	Sensor 2: 23.94 °C	Sensor 3: 27.69 °C
Sensor 1: 18.56 °C	Sensor 2: 23.94 °C	Sensor 3: 27.75 °C
Sensor 1: 18.44 °C	Sensor 2: 23.87 °C	Sensor 3: 27.81 °C
Sensor 1: 18.44 °C	Sensor 2: 23.94 °C	Sensor 3: 27.81 °C
Sensor 1: 18.37 °C	Sensor 2: 23.87 °C	Sensor 3: 27.87 °C
Sensor 1: 18.31 °C	Sensor 2: 23.94 °C	Sensor 3: 27.87 °C
Sensor 1: 18.19 °C	Sensor 2: 23.94 °C	Sensor 3: 27.94 °C
Sensor 1: 18.19 °C	Sensor 2: 23.87 °C	Sensor 3: 28.00 °C
Sensor 1: 18.06 °C	Sensor 2: 23.87 °C	Sensor 3: 28.06 °C
Sensor 1: 18.06 °C	Sensor 2: 23.94 °C	Sensor 3: 28.12 °C
Sensor 1: 17.94 °C	Sensor 2: 23.87 °C	Sensor 3: 28.12 °C
Sensor 1: 17.94 °C	Sensor 2: 23.87 °C	Sensor 3: 28.19 °C
Sensor 1: 17.87 °C	Sensor 2: 23.94 °C	Sensor 3: 28.25 °C
Sensor 1: 17.81 °C	Sensor 2: 23.94 °C	Sensor 3: 28.25 °C
Sensor 1: 17.75 °C	Sensor 2: 23.87 °C	Sensor 3: 28.31 °C
Sensor 1: 17.69 °C	Sensor 2: 23.94 °C	Sensor 3: 28.37 °C
